Id,What is your age group?,Do you currently have a bank account?,How far is the nearest bank branch from your home?,What financial services do you currently use? (Select all that apply),What type of mobile phone do you use?,How do you access the internet? (Select all that apply),How would you rate your comfort level with using mobile applications?,How reliable is your internet connection?,How much do you trust traditional banks?,Have you ever experienced corruption in financial services?,How important is Sharia compliance in financial services for you?,What security features would make you feel comfortable using a digital banking application? (Select all that apply),What financial service would be most valuable to you?,How often would you need to withdraw cash?,Would you be comfortable using a voucher system to convert physical cash to digital currency?,What is your preferred method for receiving payments?,Which type of Sharia-compliant financing would you be most interested in?,What language would you prefer to use for a banking application?,How would you prefer to receive notifications about your account?,What visual elements would you find most helpful in a banking app? (Select all that apply),How many steps would be acceptable for you to complete a basic money transfer?,How much would you be willing to pay in fees for a money transfer service?,How long would you be willing to wait for a transaction to complete?,How important is offline functionality for a banking app in your area?,What type of account documentation would you be able to provide? (Select all that apply),What would be your biggest concern about using a blockchain-based banking system?,How likely would you be to use a blockchain-based banking system if it was available?,How important is it for you to understand how blockchain technology works before using it?,"On a scale of 0-10, how likely are you to recommend a blockchain-based banking system to friends or family?",What additional features would you like to see in a blockchain-based banking system? (Open text)
1,25-34,No,Less than 5 km,Cash only,Smartphone,Mobile data;Home internet;Work/school,10,Mostly reliable (works most of the time),Completely distrust,"Yes, frequently",Not important at all,Password protection;Fingerprint recognition;Face recognition;Two-factor authentication,Money transfers,Weekly,5,Bank transfer,Qard Hasan (interest-free loans),English,App notifications,Simple icons;Transaction history graphs;Text instructions,3-5 steps,No fees,Instantly (seconds),Not very important,Government ID;Passport,Security of my money,9,7,8,Savings spaces
2,18-24,Yes,Less than 5 km,Cash only;Bank account;Informal savings groups,Smartphone,Mobile data;Home internet,8,Very reliable (always works),Completely distrust,"Yes, frequently",Very important,Password protection;Fingerprint recognition;Face recognition,Remittance services,Rarely,10,Cash,Ijara (leasing),English,SMS,Simple icons;Text instructions,Doesn't matter if it's secure,1-2%,Minutes,Very important,Government ID;Proof of address;Passport,Religious compliance,6,2,5,International usage
3,55+,No,More than 50 km,Cash only,Basic phone (calls and SMS only),I don't have access,1,No access,Completely distrust,"Yes, frequently",Very important,Password protection,Basic savings account,Monthly,2,Cash,Qard Hasan (interest-free loans),English,SMS,Text instructions;Tutorial videos;Simple icons,1-2 steps,No fees,1-2 days,Very important,Government ID;Utility bill;Proof of address;Passport,Understanding how it works,5,0,5,
4,25-34,Yes,Less than 5 km,Cash only;Bank account;Mobile money;Informal savings groups;Money lenders,Smartphone,Mobile data;Work/school,7,Very reliable (always works),Somewhat distrust,"Yes, occasionally",Very important,Password protection;Fingerprint recognition,Basic savings account,Monthly,9,Cash,Not interested,English,App notifications,Simple icons;Transaction history graphs,1-2 steps,3-5%,Minutes,Not important at all,Government ID;Utility bill;Proof of address;Passport,Technical difficulties,10,4,6,
5,18-24,Yes,Less than 5 km,Bank account;Mobile money,Smartphone,Mobile data;Home internet;Work/school,8,Mostly reliable (works most of the time),Completely distrust,"Yes, frequently",Somewhat important,Password protection,Basic savings account,Daily,0,Cash,Qard Hasan (interest-free loans),English,Email,Simple icons;Text instructions,1-2 steps,No fees,Instantly (seconds),Very important,Government ID;Proof of address,Government acceptance,10,0,10,
6,35-44,Yes,Less than 5 km,Cash only;Bank account,Smartphone,Mobile data;Home internet;Internet cafe;Work/school,8,Very reliable (always works),Somewhat distrust,"Yes, occasionally",Very important,Password protection;Fingerprint recognition;Face recognition,Money transfers,Rarely,7,Cash,Musharaka (partnership),English,SMS,Simple icons;Transaction history graphs;Text instructions,3-5 steps,Less than 1%,Minutes,Not very important,Government ID;Utility bill;Proof of address;Passport,Religious compliance,7,3,5,
7,55+,No,More than 50 km,Cash only,Basic phone (calls and SMS only),I don't have access,0,No access,Completely distrust,"Yes, frequently",Very important,Password protection,Basic savings account,Rarely,10,Cash,Qard Hasan (interest-free loans),English,SMS,Simple icons;Transaction history graphs,Doesn't matter if it's secure,No fees,Minutes,Very important,Government ID,Security of my money,10,0,5,
8,35-44,No,5-20 km,Cash only,Smartphone,Mobile data;Home internet,4,Somewhat reliable (works sometimes),Somewhat distrust,"Yes, occasionally",Very important,Password protection;Fingerprint recognition,Basic savings account,Monthly,8,Cash,Not interested,English,App notifications,Simple icons;Transaction history graphs;Color-coded categories;Text instructions,1-2 steps,Less than 1%,Instantly (seconds),Neutral,Government ID;Passport,Security of my money,10,5,5,
9,25-34,Yes,More than 50 km,Cash only,Smartphone,Mobile data,8,Somewhat reliable (works sometimes),Somewhat distrust,"Yes, occasionally",Very important,Password protection;Fingerprint recognition;Face recognition;Two-factor authentication,Basic savings account,Weekly,10,Cash,Not interested,English,App notifications,Simple icons;Transaction history graphs,3-5 steps,Less than 1%,Instantly (seconds),Somewhat important,Government ID;Passport,Religious compliance,9,9,9,
10,18-24,Yes,5-20 km,Cash only;Bank account;Mobile money,Smartphone,Mobile data;Home internet;Internet cafe;Work/school,8,Mostly reliable (works most of the time),Somewhat trust,"Yes, occasionally",Not important at all,Password protection;Fingerprint recognition;Face recognition;Transaction limits;Two-factor authentication,Microloans,Weekly,8,Bank transfer,Ijara (leasing),English,App notifications,Simple icons;Transaction history graphs;Color-coded categories,1-2 steps,No fees,Instantly (seconds),Not very important,Government ID;Utility bill;Proof of address;Passport,Security of my money,10,0,10,
11,35-44,Yes,Less than 5 km,Bank account,Smartphone,Mobile data;Home internet,9,Mostly reliable (works most of the time),Completely trust,"No, never",Not very important,Face recognition,Bill payments,Rarely,4,Bank transfer,Not interested,English,Phone call,Simple icons,1-2 steps,No fees,Instantly (seconds),Very important,Passport;Utility bill;Proof of address,Security of my money,7,10,9,
12,25-34,No,Less than 5 km,Cash only,Smartphone,Mobile data;Home internet,4,Very reliable (always works),Completely distrust,"Yes, frequently",Very important,Password protection,Basic savings account,Rarely,7,Cash,Not interested,English,App notifications,Simple icons;Transaction history graphs;Color-coded categories,Doesn't matter if it's secure,Less than 1%,Minutes,Not very important,Government ID;Passport,Security of my money,8,10,5,
13,25-34,Yes,Less than 5 km,Mobile money;Bank account,Smartphone,Home internet;Mobile data,9,Mostly reliable (works most of the time),Somewhat trust,"No, never",Very important,Password protection;Fingerprint recognition;Transaction limits;Two-factor authentication,Money transfers,Monthly,4,Bank transfer,Qard Hasan (interest-free loans),English,Email,Transaction history graphs;Simple icons;Color-coded categories,3-5 steps,No fees,Minutes,Very important,Government ID;Passport,Understanding how it works,2,8,6,Educating regarding the block-chain technology available and block-chain in general
14,35-44,No,21-50 km,Cash only,Basic phone (calls and SMS only),Internet cafe,1,Unreliable (rarely works),Somewhat distrust,"Yes, frequently",Very important,Password protection,Basic savings account,Daily,1,Cash,Not interested,English,SMS,Simple icons,Doesn't matter if it's secure,No fees,Instantly (seconds),Very important,Proof of address,Technical difficulties,1,10,0,"I don't have a smart phone, so I would need to afford one first"
15,18-24,Yes,Less than 5 km,Bank account;Mobile money;Informal savings groups;Money lenders,Smartphone,Mobile data;Home internet,10,Very reliable (always works),Completely trust,Prefer not to say,Somewhat important,Password protection;Fingerprint recognition;Face recognition;Transaction limits;Two-factor authentication,Remittance services,Rarely,10,Bank transfer,Musharaka (partnership),English,Email,Simple icons;Transaction history graphs;Color-coded categories;Tutorial videos;Text instructions,3-5 steps,Less than 1%,Hours,Neutral,Government ID;Utility bill;Proof of address;Passport,Security of my money,10,8,9,"The ability to bring across money from my current investment firms, and a conversion-service perhaps. "
16,55+,No,More than 50 km,Cash only;Informal savings groups,Feature phone (basic internet),Mobile data;Home internet;Internet cafe,3,Mostly reliable (works most of the time),Neutral,"Yes, occasionally",Very important,Password protection;Transaction limits,Basic savings account,Weekly,1,Cash,Qard Hasan (interest-free loans),English,SMS,Simple icons,1-2 steps,No fees,Instantly (seconds),Very important,Government ID,Understanding how it works,6,10,3,"As a non-english speaker who didn't attend school, at my old age I'd need a very simple application to use, with Arabic as an option."
17,55+,Yes,5-20 km,Cash only;Bank account,Smartphone,Home internet,2,Somewhat reliable (works sometimes),Completely trust,"Yes, frequently",Very important,Password protection;Fingerprint recognition;Face recognition;Transaction limits;Two-factor authentication,Bill payments,Never,3,Cash,Murabaha (cost-plus financing),English,App notifications,Tutorial videos,3-5 steps,3-5%,Instantly (seconds),Very important,Passport,Security of my money,10,10,10,
